elo,match32,top3_32,cploss32,match256,top3_256,cploss256,match4096,top3_4096,cploss4096,match65536,top3_65536,cploss65536
1539,0,0,20,0,0,23,0,1,1,1,1,0
2138,0,0,0,1,1,99,0,1,63,0,0,48
2165,0,0,114,0,0,155,1,1,51,1,1,19
2534,0,0,9,0,1,13,0,0,60,0,0,27
1535,0,0,0,1,1,0,0,0,38,0,1,0
741,1,1,231,1,1,345,0,1,34,0,1,50
1917,1,1,4,1,1,230,0,0,116,0,0,216
1191,0,0,196,0,0,331,0,0,320,0,0,328
1998,0,0,43,0,0,47,0,0,41,0,0,25
883,1,1,2448,0,0,2375,0,0,2437,0,0,2392
1110,0,1,0,1,1,53,0,0,85,0,0,52
1399,0,0,27,0,1,115,0,0,252,0,0,257
2131,0,0,62,0,0,70,0,0,1420,0,1,0
1672,1,1,0,1,1,9,0,1,7,0,1,1
1930,0,1,34,0,0,405,0,1,33,0,1,14
2526,0,0,70,0,0,83,0,0,31,0,0,19
1572,1,1,0,1,1,0,1,1,0,1,1,0
1449,0,0,409,0,0,153,0,0,216,0,0,160
2354,1,1,86,1,1,85,1,1,15,1,1,3
1968,0,1,26,0,1,27,0,1,150,1,1,32
1361,0,0,0,1,1,68,0,0,56,0,0,59
1170,1,1,0,0,1,29,0,1,26,0,1,25
1814,0,0,15,0,0,61,0,0,39,0,0,0
2042,1,1,0,1,1,25,1,1,101,1,1,34
2307,0,1,206,0,1,213,1,1,0,1,1,999
1873,1,1,0,1,1,0,0,1,14,1,1,0
1966,0,0,37,0,1,34,0,1,69,0,0,114
2103,0,0,147,0,0,82,0,0,73,0,0,39
1757,0,0,67,0,0,92,0,0,93,0,0,53
1569,0,1,0,1,1,36,1,1,66,1,1,23
2412,0,0,860,0,0,991,0,0,2783,0,0,2911
1873,0,0,17,0,0,55,0,0,38,0,0,43
1659,1,1,0,1,1,44,1,1,44,1,1,0
1763,0,0,44,0,0,82,0,0,62,0,0,58
1461,1,1,0,1,1,0,1,1,0,0,1,1
1843,1,1,0,1,1,19,1,1,77,1,1,12
880,0,1,64,0,1,33,0,0,12,0,1,0
1281,0,0,105,0,1,101,0,0,77,0,0,39
1250,0,1,17,0,1,22,0,1,29,0,1,0
1243,1,1,189,0,0,245,0,0,187,0,0,250
1928,0,0,49,0,0,39,0,1,38,0,1,36
1355,1,1,0,1,1,0,1,1,6,1,1,17
1979,0,0,17,0,0,14,0,0,4,0,1,11
2172,0,0,55,0,0,258,0,0,122,0,0,123
2013,1,1,0,1,1,5,1,1,0,1,1,17
1148,0,1,0,1,1,8,0,0,106,0,0,177
1656,1,1,0,1,1,8,0,0,40,0,1,50
1937,1,1,0,0,1,21,0,1,30,0,0,58
1886,1,1,0,1,1,25,1,1,22,1,1,17
2292,0,0,18,0,0,24,1,1,0,1,1,9
2603,1,1,48,0,1,20,0,1,110,0,0,72
1461,0,0,0,1,1,27,0,0,0,0,1,0
1985,0,0,0,1,1,3,0,0,3,0,0,0
2319,0,1,93,0,0,138,0,0,55,0,0,91
1994,0,0,28,0,0,28,0,1,18,0,1,24
1910,1,1,0,1,1,52,0,1,97,0,0,135
1633,1,1,0,1,1,0,1,1,13,1,1,0
1641,1,1,58,0,1,52,1,1,52,1,1,0
1856,0,0,486,0,0,578,0,0,17,0,1,0
1093,0,0,108,0,1,158,0,1,104,0,0,151
1942,0,1,50,1,1,40,0,1,0,0,1,7
2406,0,1,0,1,1,33,1,1,0,1,1,38
1093,0,0,26,0,0,54,0,0,29,0,0,24
903,0,1,47,0,1,47,0,0,65,0,0,195
1467,1,1,0,1,1,12,1,1,0,1,1,18
1562,1,1,0,1,1,57,1,1,48,1,1,10
1145,0,1,35,0,1,15,0,1,28,1,1,3
2133,1,1,24,0,1,127,0,0,123,0,0,28
1768,0,0,23,0,1,81,0,0,35,0,0,47
1532,0,0,31,0,1,360,0,1,41,0,0,104
1877,1,1,36,0,0,31,0,0,59,0,0,66
1959,0,0,16,0,0,23,1,1,0,1,1,17
2035,0,1,0,1,1,0,0,1,46,0,1,5
951,0,0,96,0,0,8,0,0,53,0,0,20
1920,1,1,10,1,1,5,0,0,16,0,1,4
1970,0,1,5,0,1,2,0,1,13,1,1,0
1959,0,0,42,0,0,69,0,0,37,0,0,68
1073,0,0,129,0,0,134,0,0,100,0,0,151
1384,1,1,0,1,1,0,1,1,49,1,1,0
1814,0,0,0,1,1,39,1,1,16,0,0,10
2565,0,0,0,1,1,4,1,1,0,0,1,2
1760,0,0,31,0,0,36,0,0,14,0,0,21
1135,0,1,46,0,1,0,0,1,0,1,1,2
1566,0,0,87,0,0,100,0,0,232,0,0,125
1669,0,0,49,0,0,149,0,0,102,0,0,67
2050,1,1,0,1,1,4,1,1,14,0,1,0
2215,1,1,0,1,1,37,1,1,41,0,0,32
2092,1,1,0,1,1,113,1,1,41,1,1,5
2273,0,1,52,0,1,49,0,1,80,0,1,0
2038,0,1,47,0,1,44,0,0,50,0,0,17
2342,0,0,51,0,1,100,0,1,82,0,1,138
1582,0,0,0,1,1,26,0,1,0,0,1,11
1633,0,1,0,1,1,0,0,0,62,0,0,58
1600,1,1,19,1,1,0,1,1,35,1,1,0
1096,0,0,6,0,1,35,0,0,93,0,1,15
1018,0,0,12,1,1,0,1,1,0,1,1,0
1985,0,1,20,0,1,124,1,1,0,1,1,0
1933,1,1,0,1,1,124,0,0,37,1,1,3
2542,0,1,31,0,1,0,1,1,40,1,1,0
848,1,1,0,1,1,360,0,0,85,0,0,48
1420,0,1,48,0,0,121,0,1,25,0,1,59
1766,1,1,5,1,1,0,1,1,0,1,1,0
2043,0,0,43,0,1,72,0,1,12,1,1,24
2219,0,0,17,0,0,9,0,0,46,0,0,28
2098,0,0,239,0,0,271,0,0,383,0,0,283
1712,0,0,119,0,0,123,0,0,4,0,0,1496
1058,0,1,33,0,0,43,0,1,48,0,0,36
1704,0,1,34,0,0,34,0,0,40,0,0,55
1888,1,1,0,1,1,50,1,1,9,1,1,0
2178,0,0,77,0,1,73,0,1,131,0,1,16
1346,0,1,14,0,1,43,0,0,58,0,0,58
1178,0,0,228,0,0,244,0,0,99,0,0,209
2107,0,0,116,0,0,119,0,0,0,0,1,63
1795,1,1,0,1,1,55,1,1,22,1,1,8
1876,0,0,112,0,0,126,0,0,147,0,0,134
2268,0,0,52,0,0,23,0,1,122,0,1,131
977,0,1,34,0,1,15,0,0,41,0,0,0
1601,0,0,22,0,1,39,0,0,0,0,1,28
1457,0,1,60,0,1,51,0,1,5,0,1,38
1375,1,1,0,1,1,23,1,1,0,1,1,22
2493,1,1,91,0,0,116,1,1,66,1,1,68
1872,1,1,0,1,1,5,1,1,11,1,1,26
1142,0,1,59,0,0,34,0,1,9,0,1,0
1816,0,0,147,0,0,41,0,1,36,0,1,59
1197,0,1,54,0,1,64,1,1,105,1,1,0
2132,0,0,20,0,0,45,0,0,32,0,0,22
1776,1,1,0,1,1,0,0,1,36,0,1,72
1831,0,0,31,0,0,57,0,0,214,0,0,153
1564,0,0,77,0,1,111,0,0,70,0,0,37
2144,0,0,76,0,0,97,0,0,73,0,0,94
1861,0,1,55,0,0,67,1,1,180,1,1,22
2125,0,1,15,0,1,41,1,1,14,1,1,24
1427,1,1,57,1,1,50,0,1,0,1,1,0
2004,0,0,336,0,0,0,0,0,13,1,1,1103
1696,0,1,5,0,1,30,0,0,29,0,0,95
1556,0,0,22,0,1,35,0,0,85,0,0,20
1762,0,1,0,1,1,142,0,1,18,0,1,14
1715,0,0,0,0,0,0,0,0,2,0,0,1
1459,1,1,0,1,1,0,1,1,96,1,1,29
1585,0,0,0,1,1,7,1,1,2,0,0,26
1879,0,0,0,1,1,0,1,1,0,1,1,0
1905,0,0,0,1,1,76,0,0,61,0,0,22
1397,0,0,0,0,1,56,0,0,26,0,1,0
1086,0,1,27,0,0,5,0,0,9,1,1,16
2284,1,1,52,0,1,0,0,0,54,1,1,0
1522,0,0,121,0,0,115,0,0,347,0,0,319
1118,0,0,41,0,0,43,0,0,60,0,0,65
1081,0,0,63,0,1,15,0,1,60,0,0,65
1113,0,0,60,0,0,40,0,0,80,0,0,52
1906,1,1,0,1,1,6,1,1,9,1,1,3
1182,1,1,0,1,1,16,1,1,16,1,1,0
1735,0,0,45,0,1,43,0,0,82,0,0,93
1787,0,1,0,1,1,0,0,0,48,0,1,14
1500,0,0,130,0,0,141,0,0,26,0,1,0
2647,0,0,0,1,1,25,1,1,25,0,0,30
1521,0,1,318,0,1,358,1,1,71,0,1,0
2231,0,0,39,0,0,66,0,0,70,0,1,71
